player_positions,long_name,overall,age,height_cm,club_name,league_name,skill_dribbling,pace,shooting,passing,dribbling,defending,physic,preferred_foot,goalkeeping_diving
"RB, LB",Thomas Lynn James,64,27,175,Leyton Orient,League One,60,73.0,59.0,60.0,62.0,57.0,72.0,Right,16
GK,Muammer Zülfikar Yıldırım,64,32,190,Sivasspor,Super Lig,17,,,,,,,Left,63
CM,Francisco José Rodríguez Araya,64,27,177,Winterthur,Super League,67,69.0,61.0,63.0,68.0,54.0,56.0,Right,12
"CAM, CF",Julius Valentin Biada,64,30,179,Saarbrücken,3. Liga,66,56.0,69.0,60.0,66.0,39.0,61.0,Right,7
CB,Sandesh Jhingan,64,29,188,Goa,Super League,31,62.0,33.0,42.0,41.0,62.0,78.0,Right,13
RB,Svenn Crone,64,28,182,Brann,Eliteserien,62,75.0,41.0,57.0,64.0,57.0,65.0,Right,9
"CDM, CM",Michał Rzuchowski,64,29,176,Śląsk Wrocław,Ekstraklasa,56,58.0,59.0,64.0,62.0,58.0,70.0,Right,8
CB,Fernando Piñero,64,30,195,Magallanes,Primera Division,36,45.0,41.0,43.0,41.0,64.0,75.0,Right,16
"LB, LWB",Alexander Joseph Gersbach,64,26,183,Colorado Rapids,Major League Soccer,59,82.0,36.0,55.0,62.0,59.0,69.0,Left,10
CM,Andy Cannon,64,27,176,Wrexham,League Two,65,70.0,53.0,62.0,68.0,60.0,64.0,Right,7
"CM, CDM",何超,64,28,178,Wuhan Three Towns,Super League,58,74.0,55.0,64.0,62.0,65.0,76.0,Right,7
GK,董春雨,64,32,187,Shenzhen,Super League,13,,,,,,,Left,62
ST,Eamonn Brophy,64,27,174,Ross County,Premiership,64,77.0,65.0,57.0,65.0,31.0,68.0,Right,14
"LWB, LB",赵宏略,64,33,174,Cangzhou Mighty Lions,Super League,62,64.0,35.0,55.0,61.0,60.0,61.0,Left,12
ST,Danny Johnson,64,30,178,Walsall,League Two,59,66.0,63.0,48.0,62.0,24.0,65.0,Left,14
GK,Gurpreet Singh Sandhu,64,31,197,Bengaluru,Super League,13,,,,,,,Right,63
"CM, CDM",Conor McGrandles,64,27,185,Charlton Athletic,League One,61,66.0,56.0,62.0,62.0,60.0,77.0,Right,15
"ST, RW, RM",Bayron Andrés Oyarzo Muñoz,64,27,165,Ñublense,Primera Division,68,77.0,64.0,50.0,67.0,22.0,46.0,Right,14
GK,Thomas Lloyd King,64,28,194,Wolverhampton Wanderers,Premier League,8,,,,,,,Right,64
ST,Joaquín Susvielles,64,32,188,Barracas Central,Liga Profesional,62,60.0,67.0,45.0,60.0,32.0,60.0,Right,14
"RM, LM",Sultan Ahmed Mohammed Mandash,64,28,172,Al Fayha,Pro League,66,80.0,56.0,54.0,66.0,24.0,58.0,Left,7
"CM, CDM, ST",김민혁 金敏赫,64,30,182,Ulsan,K League 1,61,61.0,59.0,60.0,63.0,51.0,73.0,Right,8
ST,Ronivaldo Bernardo Sales,64,34,173,Blau-Weiß Linz,Bundesliga,64,72.0,69.0,50.0,65.0,21.0,60.0,Right,10
"CM, CDM",Marko Poletanović,64,29,187,Zagłębie Lubin,Ekstraklasa,64,57.0,63.0,64.0,64.0,62.0,70.0,Right,15
CB,Stuart John Findlay,64,27,191,Kilmarnock,Premiership,48,55.0,41.0,49.0,50.0,64.0,75.0,Left,14
"RM, RW",Paul James McMullan,64,27,168,Derry City,Premier Division,63,83.0,54.0,58.0,65.0,26.0,42.0,Right,13
"CM, CDM",池忠国,64,33,172,Beijing Guoan,Super League,61,73.0,56.0,63.0,64.0,65.0,67.0,Right,14
"RM, LM, ST",Christopher James Ikonomidis,64,28,180,Melbourne Victory,A-League,63,78.0,62.0,61.0,64.0,51.0,67.0,Right,10
CB,Valtteri Moren,64,32,188,HJK,Veikkausliiga,32,30.0,27.0,44.0,45.0,67.0,67.0,Right,7
"RB, CB",Luca Ferrone Brualla,64,30,182,Racing Ferrol,La Liga 2,54,66.0,36.0,47.0,56.0,62.0,59.0,Right,16
"RM, LM, RB",Marvin Ajani,64,29,188,Hallescher FC,3. Liga,60,91.0,54.0,55.0,61.0,53.0,77.0,Right,15
ST,Matthew James Taylor,64,33,176,Forest Green Rovers,League Two,60,68.0,64.0,56.0,64.0,27.0,61.0,Right,13
"CAM, LW",Davide Di Molfetta,64,27,179,FeralpiSalò,Serie B,70,76.0,61.0,59.0,69.0,38.0,60.0,Right,7
GK,Marcel Engelhardt,64,30,191,Holstein Kiel,2. Bundesliga,18,,,,,,,Right,69
"CDM, CB, CM",Osman Çelik,64,31,182,Samsunspor,Super Lig,61,50.0,47.0,55.0,61.0,62.0,73.0,Right,13
"CM, RWB",Ryan James Broom,64,26,177,Fleetwood Town,League One,65,83.0,57.0,63.0,67.0,56.0,66.0,Right,15
GK,Rafał Leszczyński,64,31,187,Śląsk Wrocław,Ekstraklasa,15,,,,,,,Right,65
"RB, CB, RM",Vasile Mogoș,64,30,186,CFR Cluj,Liga 1,58,63.0,61.0,61.0,59.0,60.0,74.0,Right,13
"RM, RW, ST",Harry McKirdy,64,26,175,Hibernian,Premiership,62,88.0,58.0,55.0,65.0,32.0,50.0,Right,12
"LB, CB",David Morillas Jiménez,64,36,186,Alcorcón,La Liga 2,54,63.0,46.0,56.0,57.0,62.0,77.0,Left,7
"LB, CB",Manel Royo Castell,64,29,183,Almere City,Eredivisie,58,76.0,37.0,50.0,58.0,60.0,69.0,Left,14
"LM, RM",문선민 蒙善民,64,31,172,Jeonbuk Motors,K League 1,68,90.0,60.0,54.0,66.0,36.0,55.0,Right,8
CB,Nico Antonitsch,64,31,186,Elversberg,2. Bundesliga,31,48.0,32.0,40.0,43.0,64.0,77.0,Right,5
"RM, LM, LWB",James Robert Brophy,64,28,180,Cambridge United,League One,63,86.0,51.0,58.0,64.0,55.0,69.0,Left,8
GK,Peter Nivaldo Abradanel Espín,64,39,187,América Mineiro,Serie A,15,,,,,,,Right,61
ST,Marcelo Emanuel Vildeia Maia,64,27,172,Botafogo,Serie A,72,83.0,62.0,49.0,69.0,30.0,54.0,Right,12
"CB, LB",Miguel Zabaco Tomé,64,34,185,NorthEast United,Super League,38,47.0,39.0,50.0,45.0,63.0,72.0,Left,7
CB,Mateus Bernardo Couteira Machado,64,27,177,Goiás,Serie A,45,63.0,35.0,55.0,50.0,66.0,61.0,Right,15
ST,Flávio Leôncio Trigo Sacramento,64,27,173,América Mineiro,Serie A,74,74.0,63.0,41.0,73.0,30.0,54.0,Right,11
ST,Rivaldo Vítor Borba Ferreira Júnior,64,28,186,SSC Farul,Liga 1,63,67.0,64.0,58.0,64.0,33.0,70.0,Right,7
CB,Johannes Reichert,64,31,184,Ulm,3. Liga,48,62.0,32.0,48.0,53.0,63.0,76.0,Right,6
CB,Tomislav Uskok,64,32,196,Macarthur,A-League,47,56.0,35.0,47.0,50.0,61.0,79.0,Right,7
CB,Brendan Daniel Hines-Ike,64,28,185,DC United,Major League Soccer,54,53.0,53.0,54.0,58.0,64.0,73.0,Right,6
"LB, LM, LWB",Taylor Washington,64,29,178,Nashville SC,Major League Soccer,40,73.0,25.0,44.0,48.0,63.0,56.0,Left,10
CB,José Antonio Alfaro Vázquez,64,30,188,LA Galaxy,Major League Soccer,47,56.0,25.0,45.0,52.0,62.0,71.0,Left,15
CB,Joshua Yaro,64,29,180,Saint Louis City,Major League Soccer,49,76.0,39.0,47.0,55.0,64.0,67.0,Right,8
"CAM, CM, CDM",Fabian Herbers,64,29,183,Chicago Fire,Major League Soccer,67,65.0,62.0,63.0,66.0,57.0,68.0,Right,14
CB,Florin Bejan,64,32,187,Hermannstadt,Liga 1,37,42.0,32.0,41.0,44.0,63.0,75.0,Right,8
"RB, LB",Lautaro Dante Geminiani,64,32,177,Patronato,Liga Profesional,64,74.0,31.0,51.0,63.0,59.0,63.0,Right,14
RB,Damian Jakubik,64,33,183,Radomiak Radom,Ekstraklasa,42,76.0,32.0,54.0,50.0,60.0,71.0,Right,8
"LB, CB",Hans Oskar Jonathan Augustinsson,64,27,185,Rosenborg,Eliteserien,61,69.0,48.0,60.0,62.0,59.0,69.0,Left,8
LW,Niklas Fernando Nygård Castro,64,27,173,Brann,Eliteserien,66,72.0,62.0,61.0,67.0,42.0,58.0,Right,9
"RWB, CM",朴世豪,64,31,177,Cangzhou Mighty Lions,Super League,43,82.0,39.0,54.0,51.0,59.0,74.0,Right,13
"ST, CF",Daniel Constantin Florea,64,35,173,Voluntari,Liga 1,66,72.0,64.0,58.0,70.0,31.0,56.0,Right,6
ST,Omar Hanif Bogle,64,29,185,Newport County,League Two,61,64.0,62.0,50.0,62.0,30.0,73.0,Left,8
"ST, RW",Abdiel Arroyo Molinar,64,29,187,Monagas,Primera Division,50,64.0,65.0,40.0,54.0,24.0,66.0,Right,10
RW,Silviu Nicolae Balaure,64,27,178,Hermannstadt,Liga 1,65,76.0,57.0,62.0,65.0,43.0,61.0,Right,10
"LM, CAM",Andreias Cristian Calcan,64,29,172,Universitatea Cluj,Liga 1,65,73.0,59.0,61.0,64.0,36.0,61.0,Right,13
"CAM, CF",Reuven Niemeijer,64,28,178,RKC Waalwijk,Eredivisie,63,70.0,65.0,59.0,64.0,48.0,64.0,Right,8
"CB, LB",Bojan Nastić,64,28,182,Jagiellonia Białystok,Ekstraklasa,57,76.0,48.0,60.0,60.0,62.0,75.0,Left,5
CAM,Raphael William Doninho Oliveira,64,23,168,Botafogo,Serie A,67,68.0,58.0,63.0,69.0,40.0,51.0,Right,13
"ST, CAM",Nito Wagner Carbelho Inácio,64,31,181,Fluminense,Serie A,66,71.0,62.0,57.0,65.0,34.0,63.0,Right,7
"RM, RB",Josué Dorrio Ortega,64,29,170,Amorebieta,La Liga 2,66,79.0,56.0,57.0,65.0,33.0,57.0,Right,13
GK,Spencer Richey,64,31,185,Chicago Fire,Major League Soccer,15,,,,,,,Right,63
"LB, CB",Francis de Vries,64,28,188,,,62,64.0,48.0,62.0,61.0,59.0,73.0,Left,8
CB,Brent Kallman,64,32,188,Minnesota United,Major League Soccer,36,46.0,39.0,49.0,37.0,63.0,76.0,Right,9
"CDM, CM, CB",Cătălin Carp,64,29,184,UTA Arad,Liga 1,47,61.0,43.0,54.0,55.0,63.0,69.0,Right,11
ST,Alexis Andrés Domínguez Ansorena,64,26,185,Barracas Central,Liga Profesional,45,63.0,63.0,54.0,54.0,27.0,71.0,Right,12
ST,Pascal Sohm,64,31,188,Waldhof Mannheim,3. Liga,60,71.0,61.0,57.0,63.0,26.0,74.0,Right,13
ST,Benjamin Girth,64,31,181,MSV Duisburg,3. Liga,63,55.0,64.0,45.0,63.0,23.0,55.0,Right,8
"CB, CDM",Moritz Fritz,64,29,192,Viktoria Köln,3. Liga,39,53.0,41.0,48.0,49.0,62.0,78.0,Right,6
ST,Joshua Gordon,64,28,178,Burton Albion,League One,62,79.0,62.0,55.0,65.0,48.0,79.0,Right,11
"CB, CDM",Opa Sanganté,64,32,188,Dunkerque,Ligue 2,54,53.0,48.0,57.0,56.0,61.0,75.0,Right,9
"CDM, CAM, CM",Ross Callachan,64,29,178,Ross County,Premiership,59,60.0,62.0,58.0,61.0,62.0,74.0,Right,10
"CDM, CM",Juan Carlos Colina Silva,64,36,175,Academia Puerto Cabello,Primera Division,52,53.0,36.0,54.0,54.0,66.0,65.0,Right,9
"CDM, CM",田依浓,64,32,181,Tianjin Jinmen Tiger,Super League,56,77.0,31.0,55.0,61.0,58.0,76.0,Right,11
"RW, LW, RB",Pyry Henri Hidipo Soiri,64,28,183,HJK,Veikkausliiga,64,77.0,59.0,57.0,65.0,48.0,59.0,Right,11
GK,Budimir Janošević,64,33,188,AIK,Allsvenskan,11,,,,,,,Right,64
ST,Romain Spano,64,28,182,Annecy,Ligue 2,64,66.0,63.0,56.0,64.0,30.0,61.0,Left,15
"LWB, RWB, ST",Adam Mikael Sven Ståhl,64,28,187,Mjällby,Allsvenskan,64,75.0,58.0,58.0,64.0,56.0,71.0,Right,11
"RB, CDM, CM",Maxime Etuin,64,27,175,Concarneau,Ligue 2,64,68.0,56.0,69.0,65.0,59.0,47.0,Left,8
"ST, RM",王子铭,64,26,187,Beijing Guoan,Super League,60,81.0,62.0,50.0,62.0,32.0,71.0,Right,13
ST,Abdulfattah Mohamed Adam,64,28,180,Al Taawon,Pro League,64,77.0,63.0,47.0,64.0,19.0,62.0,Right,7
"LWB, LB, CB",Jonathan Scherzer,64,27,185,Wolfsberger AC,Bundesliga,63,65.0,42.0,58.0,62.0,62.0,66.0,Left,7
"LB, RB, RM",Jon Gallagher,64,27,175,Austin,Major League Soccer,62,80.0,58.0,58.0,64.0,54.0,61.0,Right,8
"RM, ST",Corey Baird,64,27,178,Houston Dynamo,Major League Soccer,62,77.0,63.0,56.0,63.0,32.0,69.0,Right,5
CB,Michael Jermain Nottingham,64,34,193,Livingston,Premiership,54,52.0,35.0,50.0,52.0,63.0,70.0,Right,10
"CM, CAM",Marcelo de Freitas Costa,64,29,183,UTA Arad,Liga 1,62,54.0,62.0,65.0,64.0,58.0,68.0,Right,14
"CM, RW, CF",Scott Pittman,64,30,176,Livingston,Premiership,62,70.0,64.0,59.0,64.0,56.0,69.0,Right,9
"CDM, CM",Thibault Corbaz,64,29,180,Winterthur,Super League,64,62.0,55.0,61.0,63.0,59.0,65.0,Right,13
CM,Samuel Joseph Finley,64,30,170,Bristol Rovers,League One,63,60.0,58.0,63.0,67.0,61.0,67.0,Right,15
GK,Danijel Zagorac,64,36,186,Dinamo Zagreb,1. HNL,18,,,,,,,Right,65
CB,Thomas Rotter,64,31,188,Hartberg,Bundesliga,32,41.0,37.0,40.0,43.0,65.0,70.0,Right,13
CM,Christian Ilić,64,26,185,Dinamo Bucureşti,Liga 1,61,58.0,51.0,64.0,63.0,60.0,66.0,Left,13
"RB, RWB",Si Young Lee,64,26,173,Seoul,K League 1,62,79.0,39.0,51.0,62.0,56.0,67.0,Right,10
"LM, LWB",Dominik Schwizer,64,27,181,Lausanne Sport,Super League,65,72.0,58.0,60.0,65.0,52.0,59.0,Left,10
"CDM, CB",Fredrik Vangstad Sjølstad,64,29,187,HamKam,Eliteserien,60,68.0,41.0,56.0,60.0,60.0,68.0,Right,7
"LM, ST, CAM",Felix Werner Wolfgang Drinkuth,64,28,185,VfB Lübeck,3. Liga,63,75.0,59.0,58.0,64.0,28.0,65.0,Right,12
"RM, LM, RWB",刘云,64,28,180,Changchun Yatai,Super League,60,79.0,60.0,60.0,62.0,54.0,60.0,Left,14
"RW, CM",Petrișor Ionuț Petrescu,64,30,176,Hermannstadt,Liga 1,60,79.0,60.0,62.0,63.0,50.0,57.0,Right,11
"CDM, CM",Jonathan Emanuel Rodríguez,64,33,173,Sepsi,Liga 1,64,61.0,62.0,67.0,65.0,60.0,61.0,Right,14
"CDM, CM",Gabriel Cristian Vașvari,64,36,179,CSM Politehnica Iași,Liga 1,56,51.0,59.0,61.0,61.0,61.0,67.0,Right,6
"RW, RM, LW",Cristi Marian Bărbuț,64,28,166,Hermannstadt,Liga 1,63,93.0,58.0,54.0,66.0,30.0,57.0,Right,15
RB,Claudiu Belu-Iordache,64,29,185,CSM Politehnica Iași,Liga 1,54,72.0,47.0,58.0,57.0,61.0,74.0,Right,13
"CM, RW",Ionuț Daniel Vînă,64,28,180,SSC Farul,Liga 1,65,72.0,61.0,60.0,67.0,62.0,70.0,Left,10
CB,José Luis Espinosa Arroyo,64,31,186,Mumbai City,Super League,53,60.0,38.0,53.0,50.0,62.0,75.0,Left,9
"LWB, CB",Jack Henry Stewart Iredale,64,27,184,Bolton Wanderers,League One,58,72.0,42.0,53.0,57.0,61.0,74.0,Left,10
ST,Gonçalo de Almeida Gregório,64,28,184,Dinamo Bucureşti,Liga 1,63,74.0,63.0,60.0,64.0,26.0,75.0,Right,11
"CB, LB",Frazer John Blake-Tracy,64,27,178,Swindon Town,League Two,61,63.0,37.0,58.0,61.0,63.0,72.0,Left,8
"LB, LM",Jakub Holúbek,64,32,180,Piast Gliwice,Ekstraklasa,62,72.0,25.0,51.0,60.0,61.0,64.0,Left,6
"LB, LM",Denis Constantin Dumitrașcu,64,28,182,UTA Arad,Liga 1,49,72.0,55.0,64.0,56.0,56.0,68.0,Left,5
CB,Tomáš Huk,64,28,184,Piast Gliwice,Ekstraklasa,35,58.0,29.0,47.0,44.0,65.0,63.0,Right,7
"ST, LW, LM",Juan Pablo Ruiz Gómez,64,29,169,Delfin,Liga Pro,66,62.0,65.0,52.0,64.0,30.0,56.0,Right,7
"CDM, CM, LM",Christian Leonardo Flores Calderón,64,35,175,Estudiantes Mérida,Primera Division,68,60.0,63.0,65.0,67.0,57.0,66.0,Left,12
ST,Clementino González Martínez,64,33,184,General Caballero JLM,Primera División,65,70.0,65.0,57.0,63.0,35.0,66.0,Right,8
ST,Héctor Alipio Zeta Lacherre,64,29,178,Deportivo Binacional,Primera Division,63,71.0,59.0,51.0,65.0,20.0,62.0,Right,11
"RB, LB",Leminger Alcides Bolívar Echarry,64,33,167,Metropolitanos,Primera Division,61,63.0,50.0,58.0,60.0,62.0,68.0,Right,13
"ST, CF",Irwin Rafael Antón Barroso,64,35,180,Metropolitanos,Primera Division,60,53.0,67.0,62.0,60.0,40.0,69.0,Right,15
"CDM, CM",Luis Arturo Arce Mina,64,29,175,Barcelona Guayaquil,Liga Pro,63,68.0,58.0,60.0,64.0,64.0,61.0,Right,13
"RWB, RB, LWB",Anton Liljenbäck,64,28,183,Varberg BoIS,Allsvenskan,59,72.0,41.0,55.0,59.0,60.0,73.0,Right,8
GK,Elder Arauz Saucedo,64,33,180,Guabirá,Liga De Futbol Prof,12,,,,,,,Right,61
RB,Raúl Alejandro Cáceres Bogado,64,31,180,Guaraní,Primera División,59,71.0,45.0,57.0,60.0,59.0,60.0,Right,12
ST,Patrick Hobsch,64,28,183,Unterhaching,3. Liga,57,71.0,65.0,48.0,61.0,26.0,68.0,Right,15
ST,Pape Ibnou Bâ,64,30,174,Concarneau,Ligue 2,61,68.0,63.0,51.0,63.0,26.0,69.0,Right,13
CB,Pedro Luis Capó Payeras,64,32,188,Eldense,La Liga 2,50,69.0,50.0,57.0,56.0,63.0,70.0,Right,7
CB,Connor Hall,64,30,193,Colchester United,League Two,39,51.0,27.0,42.0,42.0,63.0,78.0,Left,6
"RM, CF",Marcelo André Veiga Lopes,64,29,177,Voluntari,Liga 1,63,83.0,57.0,57.0,64.0,25.0,58.0,Right,13
"CM, LM, RM",Luis Enrique Hurtado Badani,64,29,180,Palmaflor del Trópico,Liga De Futbol Prof,58,65.0,59.0,66.0,61.0,58.0,60.0,Left,10
"ST, LW, CAM",Freddy Alessandro Abastoflor Molina,64,30,169,Guabirá,Liga De Futbol Prof,70,75.0,64.0,58.0,67.0,27.0,56.0,Right,12
LB,Rodney Miguel Pedrozo,64,26,181,Tacuary,Primera División,51,69.0,37.0,52.0,55.0,61.0,57.0,Right,13
RB,Hayrullah Bilazer,64,28,170,Ankaragücü,Super Lig,65,71.0,44.0,56.0,65.0,61.0,59.0,Right,15
"CDM, CM",Raimon Marchán Vidal,64,29,181,Melbourne Victory,A-League,51,58.0,31.0,56.0,55.0,64.0,53.0,Right,13
"CM, CDM",José Manuel Vera,64,32,179,General Caballero JLM,Primera División,67,52.0,55.0,58.0,64.0,61.0,62.0,Right,14
GK,Pilip Vaitsiakhovich,64,33,194,Värnamo,Allsvenskan,14,,,,,,,Right,67
CM,Kristian Lønstad Onsrud,64,28,186,HamKam,Eliteserien,62,53.0,57.0,58.0,61.0,57.0,71.0,Left,7
"CAM, LM",Rodrigo Henrique Santana da Silva,64,29,180,Meizhou Hakka,Super League,69,76.0,57.0,59.0,67.0,28.0,58.0,Right,8
ST,Alessandro Gabrielloni,64,28,178,Como,Serie B,59,71.0,63.0,46.0,62.0,25.0,59.0,Right,9
LM,Gabriel Lunetta,64,26,186,Südtirol,Serie B,62,72.0,58.0,60.0,62.0,38.0,70.0,Left,13
CM,Abdullah Marafee,64,31,165,,,66,63.0,35.0,62.0,68.0,61.0,55.0,Right,7
"RM, RW",Kévin Testud,64,31,180,Annecy,Ligue 2,65,63.0,59.0,63.0,64.0,45.0,49.0,Right,10
"CAM, CM",Tunay Deniz,64,29,184,Hallescher FC,3. Liga,66,72.0,60.0,63.0,65.0,44.0,61.0,Right,9
"CM, CAM",Aleksi Paananen,64,30,168,HJK,Veikkausliiga,58,62.0,54.0,60.0,62.0,60.0,63.0,Right,11
"ST, LW",Kapitbafan Djoco,64,27,186,Bastia,Ligue 2,64,60.0,64.0,55.0,62.0,27.0,62.0,Right,6
ST,Viktor Granath,64,29,194,Halmstad,Allsvenskan,53,65.0,65.0,46.0,55.0,27.0,69.0,Left,12
"LWB, LM",Krzysztof Wołkowicz,64,28,180,Stal Mielec,Ekstraklasa,62,78.0,57.0,60.0,60.0,54.0,67.0,Left,13
RB,Macario Hing-Glover,64,28,184,Shanghai Shenhua,Super League,61,72.0,38.0,53.0,59.0,61.0,73.0,Right,7
"CAM, CM",Alin Roman,64,29,173,CSM Politehnica Iași,Liga 1,65,70.0,58.0,64.0,65.0,32.0,59.0,Left,11
"RM, LM",Alejandro San Cristóbal,64,26,181,Burgos,La Liga 2,63,63.0,54.0,63.0,63.0,25.0,49.0,Right,9
"RM, RB",Davide Guglielmotti,64,29,184,Lecco,Serie B,66,71.0,52.0,59.0,64.0,35.0,54.0,Right,13
ST,Lorenzo Pinzauti,64,28,181,Lecco,Serie B,64,62.0,64.0,49.0,63.0,27.0,59.0,Right,10
LB,Lucas Angelini,64,28,180,Central Cordoba SdE,Liga Profesional,60,70.0,48.0,51.0,58.0,62.0,60.0,Left,7
"LM, RM",Luca Giudici,64,31,179,Lecco,Serie B,63,69.0,57.0,60.0,64.0,39.0,51.0,Right,9
"CAM, LM, RM",Paul Wanner,63,17,185,Elversberg,2. Bundesliga,67,68.0,49.0,61.0,66.0,44.0,44.0,Left,7
"CM, CDM, CAM",Lewis Miley,63,17,189,Newcastle United,Premier League,68,61.0,58.0,63.0,67.0,53.0,52.0,Right,9
GK,André Nogueira Gomes,63,18,182,Benfica,Liga Portugal,23,,,,,,,Left,62
"CM, CAM",Assan Ouédraogo,63,17,191,Schalke 04,2. Bundesliga,73,70.0,52.0,59.0,71.0,43.0,65.0,Right,8
"CM, CAM",Mathias De Amorim,63,18,174,Bordeaux,Ligue 2,72,66.0,44.0,61.0,70.0,56.0,62.0,Right,9
CB,Nnamdi Collins,63,19,191,Eintracht Frankfurt,Bundesliga,44,85.0,25.0,45.0,50.0,61.0,68.0,Right,12
ST,Mateo Joseph Fernández Regatillo,63,19,185,Leeds United,Championship,62,75.0,63.0,45.0,63.0,26.0,52.0,Right,6
"CAM, CM",Jobe Bellingham,63,17,187,Sunderland,Championship,67,66.0,54.0,60.0,67.0,56.0,62.0,Right,10
"CAM, ST",Can Yılmaz Uzun,63,17,186,Nürnberg,2. Bundesliga,69,69.0,62.0,54.0,68.0,20.0,51.0,Right,5
"CDM, CM",Adam Wharton,63,19,175,Blackburn Rovers,Championship,64,68.0,35.0,56.0,64.0,61.0,60.0,Left,5
"LM, LB",Caleb Wiley,63,18,178,Atlanta United,Major League Soccer,64,76.0,36.0,54.0,66.0,57.0,58.0,Left,13
RM,Garang Kuol,63,18,175,FC Volendam,Eredivisie,63,84.0,56.0,55.0,63.0,25.0,39.0,Right,15
LM,Diego Luna,63,19,173,Real Salt Lake,Major League Soccer,74,77.0,55.0,55.0,72.0,38.0,64.0,Right,14
"CB, LB",Alex Murphy,63,19,188,Newcastle United,Premier League,52,66.0,34.0,53.0,55.0,62.0,68.0,Left,13
CAM,Anton Tsarenko,63,19,162,Dynamo Kyiv,Premier League,65,69.0,49.0,60.0,66.0,35.0,48.0,Right,13
"ST, LW",Álvaro Daniel Rodríguez Muñoz,63,18,193,Real Madrid,La Liga,65,68.0,60.0,59.0,61.0,22.0,56.0,Left,11
GK,Rome-Jayden Owusu-Oduro,63,18,189,AZ Alkmaar,Eredivisie,10,,,,,,,Right,63
GK,James Beadle,63,18,193,Oxford United,League One,10,,,,,,,Right,63
"CM, CAM",Riccardo Fogliata,63,19,180,Brescia,Serie B,57,70.0,48.0,63.0,63.0,42.0,50.0,Right,12
GK,Matthew Cox,63,20,182,Bristol Rovers,League One,8,,,,,,,Right,64
"CM, CAM",Yasin Abbas Ayari,63,19,172,Coventry City,Championship,65,64.0,51.0,64.0,67.0,49.0,59.0,Right,9
CB,Rav van den Berg,63,18,190,Middlesbrough,Championship,55,66.0,32.0,48.0,57.0,61.0,64.0,Right,13
GK,Theo Sander,63,18,192,København,Superliga,22,,,,,,,Right,64
"LM, RM",Filip Stevanović,63,20,178,RKC Waalwijk,Eredivisie,66,71.0,62.0,59.0,66.0,35.0,54.0,Right,14
"CAM, CM",Antoni-Djibu Milambo,63,18,179,Feyenoord,Eredivisie,69,68.0,53.0,63.0,69.0,44.0,55.0,Right,15
"ST, RW",Noel López de la Fuente,63,20,182,Real Madrid,La Liga,62,66.0,63.0,56.0,63.0,28.0,46.0,Right,13
"CAM, RW",Harvey Vale,63,19,181,Bristol Rovers,League One,66,73.0,61.0,64.0,67.0,47.0,55.0,Left,12
CM,Otto Rosengren,63,20,175,Malmö FF,Allsvenskan,64,64.0,54.0,62.0,68.0,50.0,51.0,Right,11
"CM, CAM",Zidane Iqbal,63,20,181,FC Utrecht,Eredivisie,68,68.0,58.0,62.0,69.0,52.0,55.0,Right,6
"RB, RWB",Charbel Wehbe,63,18,183,Real Oviedo,La Liga 2,59,75.0,45.0,55.0,58.0,59.0,65.0,Right,7
"CM, CDM",Lynnt Audoor,63,19,182,Kortrijk,Jupiler Pro League,75,66.0,52.0,63.0,71.0,57.0,58.0,Right,8
CM,Isaac Price,63,19,184,Standard Liège,Jupiler Pro League,66,58.0,61.0,63.0,64.0,55.0,55.0,Right,12
ST,Martim Miguel Carneiro Tavares,63,19,183,Boavista,Liga Portugal,55,60.0,68.0,52.0,56.0,22.0,58.0,Right,12
"ST, LW",Sinclair Armstrong,63,20,182,Queens Park Rangers,Championship,61,80.0,62.0,52.0,59.0,23.0,75.0,Right,8
ST,Giuseppe Ambrosino,63,19,187,Catanzaro,Serie B,62,74.0,60.0,57.0,62.0,40.0,68.0,Right,6
LM,Matías Gómez,63,19,170,Huracán,Liga Profesional,69,74.0,54.0,58.0,69.0,37.0,52.0,Right,9
ST,Grant-Leon Ranos,63,19,180,Borussia Mönchengladbach,Bundesliga,65,64.0,65.0,53.0,65.0,27.0,56.0,Right,12
"CDM, CB, CM",Shea Charles,63,19,189,Southampton,Championship,58,61.0,47.0,62.0,60.0,61.0,65.0,Right,7
"CDM, CM",Patrickson Luiggy Delgado Villa,63,19,173,Independiente del Valle,Liga Pro,63,59.0,47.0,54.0,62.0,61.0,63.0,Right,14
"CM, RM",Warren Bondo,63,19,177,Monza,Serie A,71,77.0,55.0,58.0,72.0,58.0,64.0,Right,14
CB,Jalen Neal,63,19,185,LA Galaxy,Major League Soccer,54,60.0,23.0,51.0,59.0,66.0,60.0,Right,8
GK,Kleber David Pinargote Lara,63,20,188,Independiente del Valle,Liga Pro,5,,,,,,,Right,65
CM,Romeo Amane,63,20,169,Häcken,Allsvenskan,69,74.0,52.0,61.0,70.0,51.0,63.0,Right,11
"ST, RM",Pablo Pagis,63,20,180,Lorient,Ligue 1,60,60.0,65.0,47.0,62.0,21.0,55.0,Right,9
CB,Jenson Seelt,63,20,192,Sunderland,Championship,43,66.0,34.0,44.0,47.0,62.0,70.0,Right,13
"CM, CDM",Sammy Braybrooke,63,19,170,Leicester City,Championship,65,63.0,51.0,63.0,66.0,54.0,55.0,Right,12
ST,Antonio Raimondo,63,19,185,Ternana,Serie B,71,67.0,61.0,61.0,68.0,28.0,57.0,Left,7
